lastname,firstname,username,email,streetaddress,city,state,department,password,telephone_perso,telephone_pro,jobtitle,company,ou,Responsable,dateofbirth
Martine,Aston,martine.aston,martine.aston@equipe1B.local,15 Rue du Bac,Nice,,,@SuperMDP062#,0689744628,0106058028,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19770816
Vaquil,Augustin,vaquil.augustin,vaquil.augustin@equipe1B.local,19 Rue de Rivoli,Nice,,,@SuperMDP062#,0689744629,0106058029,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19861130
Teur,Avia,teur.avia,teur.avia@equipe1B.local,27 Rue des Francs-Bourgeois,Nice,,,@SuperMDP062#,0689744630,0106058030,Employé,512Bank,"OU=Secteur recrutement,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Genti,19970518
Champagne,Bertrand,champagne.bertrand,champagne.bertrand@equipe1B.local,5 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744631,0106058031,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19730404
Hector,Bruno,hector.bruno,hector.bruno@equipe1B.local,26 Rue de la Grange aux Belles,Nice,,,@SuperMDP062#,0689744632,0106058032,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19941007
Mair,Cédes,mair.cédes,mair.cédes@equipe1B.local,17 Rue de la Huchette,Nice,,,@SuperMDP062#,0689744633,0106058033,Employé,512Bank,"OU=Secteur recrutement,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Genti,19790106
Guilmette,Charles,guilmette.charles,guilmette.charles@equipe1B.local,2 Rue de la Butte aux Cailles,Nice,,,@SuperMDP062#,0689744634,0106058034,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19950809
Youn,Christopher,youn.christopher,youn.christopher@equipe1B.local,21 Rue de la Glacière,Nice,,,@SuperMDP062#,0689744635,0106058035,Employé,512Bank,"OU=Secteur Juridique,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Shakira,20030726
Ubuntu,Débian,ubuntu.débian,ubuntu.débian@equipe1B.local,4 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744636,0106058036,Employé,512Bank,"OU=Secteur Paie,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Harish,19811103
Leh,Djou,leh.djou,leh.djou@equipe1B.local,29 Rue des Martyrs,Nice,,,@SuperMDP062#,0689744637,0106058037,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19760224
Guibord,Eliot,guibord.eliot,guibord.eliot@equipe1B.local,3 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744638,0106058038,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19990414
Barrientos,Élise,barrientos.élise,barrientos.élise@equipe1B.local,1 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744639,0106058039,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19721208
Nuelle,Emma,nuelle.emma,nuelle.emma@equipe1B.local,33 Rue de Turenne,Nice,,,@SuperMDP062#,0689744640,0106058040,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19880717
Perreault,Emma,perreault.emma,perreault.emma@equipe1B.local,34 Rue du Bac,Nice,,,@SuperMDP062#,0689744641,0106058041,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19920310
Dupuis,Fabien,dupuis.fabien,dupuis.fabien@equipe1B.local,35 Rue de Rivoli,Nice,,,@SuperMDP062#,0689744642,0106058042,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19701019
Libizensky,Fabien,libizensky.fabien,libizensky.fabien@equipe1B.local,36 Rue des Francs-Bourgeois,Nice,,,@SuperMDP062#,0689744643,0106058043,Employé,512Bank,"OU=Secteur Administratif,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jean,19870527
Bourget,Georges,bourget.georges,bourget.georges@equipe1B.local,37 Rue des Petits Champs,Nice,,,@SuperMDP062#,0689744644,0106058044,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19910916
Shourki,Hamed,shourki.hamed,shourki.hamed@equipe1B.local,39 Rue de la Convention,Nice,,,@SuperMDP062#,0689744645,0106058045,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19750130
Ferre,Harry,ferre.harry,ferre.harry@equipe1B.local,40 Rue de la Villette,Nice,,,@SuperMDP062#,0689744646,0106058046,Employé,512Bank,"OU=Secteur Administratif,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jean,20000604
Plaisance,Jacques,plaisance.jacques,plaisance.jacques@equipe1B.local,41 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744647,0106058047,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19840826
Auguste,Jean-Baptiste,auguste.jb,auguste.jb@equipe1B.local,43 Rue de la Huchette,Nice,,,@SuperMDP062#,0689744648,0106058048,Employé,512Bank,"OU=Secteur Produit,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Marie,19820129
Sérien,John,sérien.john,sérien.john@equipe1B.local,44 Rue de Turenne,Nice,,,@SuperMDP062#,0689744649,0106058049,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19700712
Vascques,Juan,vascques.juan,vascques.juan@equipe1B.local,45 Rue des Marty,Nice,,,@SuperMDP062#,0689744650,0106058050,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,19961106
Schwarzer,Julien,schwarzer.julien,schwarzer.julien@equipe1B.local,14 Rue du Temple,Nice,,,@SuperMDP062#,0689744651,0106058051,Employé,512Bank,"OU=Secteur Produit,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Genti,19740928
Kawashita,Kento,kawashita.kento,kawashita.kento@equipe1B.local,3 Rue de la Paix,Nice,,,@SuperMDP062#,0689744652,0106058052,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,19980525
Acunila,Kristofer,acunila.kristofer,acunila.kristofer@equipe1B.local,20 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744653,0106058053,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19711205
Gaga,Lady,gaga.lady,gaga.lady@equipe1B.local,5 Rue de la République,Nice,,,@SuperMDP062#,0689744654,0106058054,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19900818
Laut,Laye,laut.laye,laut.laye@equipe1B.local,8 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744655,0106058055,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19770207
Quatorze,Louis,quatorze.louis,quatorze.louis@equipe1B.local,13 Rue de la Convention,Nice,,,@SuperMDP062#,0689744656,0106058056,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19860615
Ange,Mel,ange.mel,ange.mel@equipe1B.local,16 Rue de la Villette,Nice,,,@SuperMDP062#,0689744657,0106058057,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19971213
Lusipe,Michael,lusipe.michael,lusipe.michael@equipe1B.local,21 Rue de la Montagne Sainte-Geneviève,Nice,,,@SuperMDP062#,0689744658,0106058058,Employé,512Bank,"OU=Secteur Juridique,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Shakira,19850409
Leduc,Michelle,leduc.michelle,leduc.michelle@equipe1B.local,19 Rue de Rivoli,Nice,,,@SuperMDP062#,0689744659,0106058059,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19791121
Libreu,Mika,libreu.mika,libreu.mika@equipe1B.local,12 Rue du Faubourg Saint-Honoré,Nice,,,@SuperMDP062#,0689744660,0106058060,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,19890902
Charint,Mohamed,charint.mohamed,charint.mohamed@equipe1B.local,11 Rue du Cherche-Midi,Nice,,,@SuperMDP062#,0689744661,0106058061,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19950223
Lafontaine,Océane,lafontaine.océane,lafontaine.océane@equipe1B.local,25 Rue de la Huchette,Nice,,,@SuperMDP062#,0689744662,0106058062,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,20030908
Raty,Pauline,raty.pauline,raty.pauline@equipe1B.local,23 Rue des Francs-Bourgeois,Nice,,,@SuperMDP062#,0689744663,0106058063,Employé,512Bank,"OU=Secteur Produit,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Marie,19811010
Feur,Quoi,feur.quoi,feur.quoi@equipe1B.local,10 Rue de la Roquette,Nice,,,@SuperMDP062#,0689744664,0106058064,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19760507
Rodrigue,Richard,rodrigue.richard,rodrigue.richard@equipe1B.local,15 Rue du Bac,Nice,,,@SuperMDP062#,0689744665,0106058065,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19990729
Martin,Samathan,martin.samathan,martin.samathan@equipe1B.local,18 Rue de la Chapelle,Nice,,,@SuperMDP062#,0689744666,0106058066,Responsable adjoint juridique,512Bank,"OU=Secteur Administratif,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Jean,19721125
Senapus,Saurel,senapus.saurel,senapus.saurel@equipe1B.local,31 Rue de Turenne,Nice,,,@SuperMDP062#,0689744667,0106058067,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19880420
Bognes,Stéphanie,bognes.stéphanie,bognes.stéphanie@equipe1B.local,26 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744668,0106058068,Employé,512Bank,"OU=Secteur Paie,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Harish,19921231
Cressac,Tarama,cressac.tarama,cressac.tarama@equipe1B.local,27 Rue des Petits Champs,Nice,,,@SuperMDP062#,0689744669,0106058069,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19700320
Gour,Théodore,gour.théodore,gour.théodore@equipe1B.local,30 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744670,0106058070,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19870922
Marcoux,Thierry,marcoux.thierry,marcoux.thierry@equipe1B.local,24 Rue des Martyrs,Nice,,,@SuperMDP062#,0689744671,0106058071,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19910109
Bounaudet,Thomas,bounaudet.thomas,bounaudet.thomas@equipe1B.local,33 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744672,0106058072,Employé,512Bank,"OU=Secteur Logistique,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacombe,19750617
Mairon,Titouan,mairon.titouan,mairon.titouan@equipe1B.local,28 Rue du Faubourg Saint-Honoré,Nice,,,@SuperMDP062#,0689744673,0106058073,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19841011
Rent,Torre,rent.torre,rent.torre@equipe1B.local,17 Rue de Belleville,Nice,,,@SuperMDP062#,0689744674,0106058074,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19820506
Trave,Tristan,trave.tristan,trave.tristan@equipe1B.local,1 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744675,0106058075,Employé,512Bank,"OU=Secteur marketing,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Dion,19730829
Ferragus,Victor,ferragus.victor,ferragus.victor@equipe1B.local,34 Rue de Turenne,Nice,,,@SuperMDP062#,0689744676,0106058076,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19960219
Vichy,Vincent,vichy.vincent,vichy.vincent@equipe1B.local,35 Rue des Francs-Bourgeois,Nice,,,@SuperMDP062#,0689744677,0106058077,Employé,512Bank,"OU=Secteur Comptabilité,OU=Département Finance,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Roger,19830601
Fone,Xilo,fone.xilo,fone.xilo@equipe1B.local,36 Rue des Petits Champs,Nice,,,@SuperMDP062#,0689744678,0106058078,Employé,512Bank,"OU=Secteur Produit,OU=Département Commercial,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Marie,19741214
Pui,Yang,pui.yang,pui.yang@equipe1B.local,38 Rue de la Pompe,Nice,,,@SuperMDP062#,0689744679,0106058079,Employé,512Bank,"OU=Secteur gestion du personel,OU=Département Ressources humaines,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Musk,19980907
Pary,Youssoufa,pary.youssoufa,pary.youssoufa@equipe1B.local,39 Rue de la Convention,Nice,,,@SuperMDP062#,0689744680,0106058080,Responsable adjoint administratif,512Bank,"OU=Secteur Juridique,OU=Département Administratif et juridique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Shakira,19710405
Chenard,Yves,chenard.yves,chenard.yves@equipe1B.local,40 Rue de la Villette,Nice,,,@SuperMDP062#,0689744681,0106058081,Employé,512Bank,"OU=Secteur R&D,OU=Département Technique,OU=512Batiment,OU=512BankFR,DC=EQUIPE1B,DC=local",Lacroix,19901102
